dimension,value,count,stake,pnl,roiPct
"sport","NULL","83","83","37.12524392","44.72920954"
"league","NULL","83","83","37.12524392","44.72920954"
"marketFamily","NULL","83","83","37.12524392","44.72920954"
"eventTitle","Colorado Rockies vs. Los Angeles Angels","2","2","3.28603721","164.3018605"
"eventTitle","Cleveland Guardians vs. New York Yankees","2","2","3.2514919","162.574595"
"eventTitle","Washington Nationals vs. Arizona Diamondbacks","2","2","2.60744075","130.3720375"
"eventTitle","Pittsburgh Pirates vs. Houston Astros","2","2","2.31905259","115.9526295"
"eventTitle","Knicks vs. Spurs","1","1","2.07692308","207.692308"
"eventTitle","San Francisco Giants vs. Milwaukee Brewers","3","3","2.06409242","68.80308067"
"eventTitle","Game Handicap: KC (-2.5) vs GIANTX (+2.5)","1","1","1.98507463","198.507463"
"eventTitle","Roland Garros ATP: Jakub Mensik vs Joao Fonseca","1","1","1.98507463","198.507463"
"eventTitle","Thunder vs. Spurs","1","1","1.89855072","189.855072"
"eventTitle","Los Angeles Dodgers vs. Arizona Diamondbacks","3","3","1.71632681","57.21089367"
"eventTitle","Roland Garros ATP: Casper Ruud vs Joao Fonseca","1","1","1.66666667","166.666667"
"eventTitle","World Championships: Canada vs. Finland","1","1","1.5974026","159.74026"
"eventTitle","Boston Red Sox vs. Cleveland Guardians: O/U 7.5","1","1","1.53164557","153.164557"
"eventTitle","Chicago White Sox vs. Minnesota Twins","3","3","1.50347881","50.11596033"
"eventTitle","Los Angeles Angels vs. Tampa Bay Rays","1","1","1.4691358","146.91358"
"eventTitle","Detroit Tigers vs. Tampa Bay Rays","1","1","1.4691358","146.91358"
"eventTitle","Set 1 Winner: Berrettini vs Arnaldi","1","1","1.38095238","138.095238"
"eventTitle","Spurs vs. Thunder","1","1","1.35294118","135.294118"
"eventTitle","Miami Marlins vs. Washington Nationals","1","1","1.35294118","135.294118"
"eventTitle","Baltimore Orioles vs. Toronto Blue Jays","1","1","1.35294118","135.294118"
"eventTitle","Tyler: Timo Legout vs Andres Andrade","1","1","1.29885057","129.885057"
"eventTitle","Boston Red Sox vs. New York Yankees","1","1","1.29885057","129.885057"
"eventTitle","Roland Garros ATP: Jakub Mensik vs Andrey Rublev","1","1","1.1978022","119.78022"
"eventTitle","Chicago Sky vs. Washington Mystics","1","1","1.1978022","119.78022"
"eventTitle","Milwaukee Brewers vs. Colorado Rockies: O/U 10.5","1","1","1.1978022","119.78022"
"eventTitle","Toronto Blue Jays vs. Baltimore Orioles","1","1","1.15053763","115.053763"
"eventTitle","Philadelphia Phillies vs. Los Angeles Dodgers","1","1","1.15053763","115.053763"
"eventTitle","Cleveland Guardians vs. New York Yankees: O/U 8.5","1","1","1.15053763","115.053763"
"eventTitle","Seattle Mariners vs. Detroit Tigers","1","1","1.15053763","115.053763"
"eventTitle","Cleveland Guardians vs. Texas Rangers","1","1","1.15053763","115.053763"
"eventTitle","New York Mets vs. San Diego Padres","1","1","1.15053763","115.053763"
"eventTitle","Canadiens vs. Hurricanes","1","1","1.10526316","110.526316"
"eventTitle","Pittsburgh Pirates vs. Atlanta Braves: O/U 8.5","1","1","1.06185567","106.185567"
"eventTitle","Cleveland Guardians vs. Texas Rangers: O/U 7.5","1","1","1.06185567","106.185567"
"eventTitle","Detroit Tigers vs. Chicago White Sox","1","1","1.02020202","102.020202"
"eventTitle","San Diego Padres vs. Washington Nationals","1","1","1.02020202","102.020202"
"eventTitle","Hurricanes vs. Golden Knights","1","1","1.02020202","102.020202"
"eventTitle","Golden Knights vs. Hurricanes","2","2","0.4691358","23.45679"
"eventTitle","New York Yankees vs. Athletics","2","2","0.40963855","20.4819275"
"eventTitle","Athletics vs. Chicago Cubs","2","2","0.24719101","12.3595505"
"eventTitle","Chicago White Sox vs. Philadelphia Phillies","2","2","0.24719101","12.3595505"
"eventTitle","Kansas City Royals vs. Cincinnati Reds","2","2","0.1978022","9.89011"
"eventTitle","Tampa Bay Rays vs. Miami Marlins","2","2","0.1978022","9.89011"
"eventTitle","Baltimore Orioles vs. Boston Red Sox","2","2","0.10526316","5.263158"
"eventTitle","Kansas City Royals vs. Texas Rangers","1","1","-1","-100"
"eventTitle","Chicago Cubs vs. St. Louis Cardinals","1","1","-1","-100"
"eventTitle","Arizona Diamondbacks vs. Seattle Mariners","1","1","-1","-100"
"eventTitle","Atlanta Braves vs. Cincinnati Reds: O/U 8.5","1","1","-1","-100"
"eventTitle","Miami Marlins vs. New York Mets","1","1","-1","-100"
"eventTitle","Milwaukee Brewers vs. Houston Astros","1","1","-1","-100"
"eventTitle","Knicks vs. Spurs: 1H Moneyline","1","1","-1","-100"
"eventTitle","Atlanta Dream vs. Indiana Fever","1","1","-1","-100"
"eventTitle","Kansas City Royals vs. Minnesota Twins","1","1","-1","-100"
"eventTitle","San Francisco Giants vs. Chicago Cubs: O/U 10.5","1","1","-1","-100"
"eventTitle","Cincinnati Reds vs. St. Louis Cardinals","1","1","-1","-100"
"eventTitle","Dallas Wings vs. Los Angeles Sparks","1","1","-1","-100"
"eventTitle","Los Angeles Angels vs. Los Angeles Dodgers","1","1","-1","-100"
"eventTitle","Pittsburgh Pirates vs. Atlanta Braves","1","1","-1","-100"
"eventTitle","Athletics vs. Houston Astros","1","1","-1","-100"
"eventTitle","Indiana Fever vs. New York Liberty","1","1","-1","-100"
"eventTitle","Texas Rangers vs. St. Louis Cardinals","2","2","-2","-100"
"eventTitle","New York Mets vs. Seattle Mariners","2","2","-2","-100"
"eventTitle","Toronto Blue Jays vs. Atlanta Braves","2","2","-2","-100"
"entryPriceBand","0.40–0.49","67","67","24.85155248","37.09186937"
"entryPriceBand","0.30–0.39","16","16","12.27369144","76.7105715"
"scoreBand","60-69","36","36","23.0368852","63.99134778"
"scoreBand","70-79","47","47","14.08835872","29.97523132"
"stakeBand","1u","83","83","37.12524392","44.72920954"
"lagBand","<=24h","83","83","37.12524392","44.72920954"
"sourceVersion","v2-lite-growth-safe","83","83","37.12524392","44.72920954"
"identityConfidence","NULL","83","83","37.12524392","44.72920954"
